Fecha,Ano,Mes,Dia,Oficina,Sitio_Desembarque,Zo_Captura,Sp_gen,Sp_nom,Pesqueria,Sp,Peso,Precio,Valor,Zona
2001-03-10,2001,3,10,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,1200.0,4,4800.0,zn2
2001-03-15,2001,3,15,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,224.0,4,896.0,zn2
2001-11-07,2001,11,7,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,8153.0,2,16306.0,zn2
2001-12-13,2001,12,13,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,150.0,5,750.0,zn2
2003-05-29,2003,5,29,CD. CONSTITUCION,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,1000.0,3,3000.0,zn2
2003-07-05,2003,7,5,CD. CONSTITUCION,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,363.0,6.666666667,2420.000000121,zn2
2003-10-10,2003,10,10,CD. CONSTITUCION,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,6300.0,3,18900.0,zn2
2003-10-19,2003,10,19,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,500.0,3,1500.0,zn2
2003-10-25,2003,10,25,CD. CONSTITUCION,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,3500.0,3,10500.0,zn2
2003-10-29,2003,10,29,CD. CONSTITUCION,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,900.0,3,2700.0,zn2
2003-11-04,2003,11,4,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,4000.0,2.5,10000.0,zn2
2003-11-21,2003,11,21,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,1500.0,3,4500.0,zn2
2003-12-10,2003,12,10,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,1513.0,3,4539.0,zn2
2004-04-24,2004,4,24,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,600.0,4,2400.0,zn2
2004-04-26,2004,4,26,PUERTO ADOLFO LOPEZ MATEOS,,,RAYA Y SIMILARES,GAVILAN,TIBURONES Y RAYA,Aetobatus narinari,1250.0,5,6250.0,zn2
